dayofweek,name,location,address,format,time,timenum
Thursday,Roost Comedy Open Mic,Roost in Wrigley,"3474 N Clark St, Chicago, IL 60657","Online through link on FB post by Erin Field, limited spots",8:00 PM,8
Thursday,Comedy Sauce,Pressure Billiards & Café,"6318 N Clark St, Chicago, IL 60660","Online through FB post and in person spots rotated in, hard cap at 8:30pm ahead of 9pm showcase",6:30 PM,6.5
Thursday,Mullen's Open Mic,Mullen's Bar and Grill,"8313 W. Lawrence, Norridge, IL 60706",In person at 7:30pm,8:00 PM,8
Thursday,CG's Open Mic,CG's Comedy Club,"619 E Boughton Rd, Suite 125, Bolingbrook, IL 60440","Online email bookinginfo@cgscomedyclub.com, doors at 7pm",7:30 PM,7.5
Thursday,Beer Belly Open Mic,@North Bar,"1637 W North Ave, Chicago, IL 60622",In Person at 10:00pm,10:30 PM,10.5
Friday,Comedy Pick-Up,Announced Weekly,Announced Weekly,In person at 6:30pm,Post show,9
Saturday,Comedy Pick-Up,Announced Weekly,Announced Weekly,In person at 6:30pm,Post show,9
Saturday,Chicago Fight Club,The Lincoln Lodge Theater,"2040 N Milwaukee Ave, Chicago, IL 60647","Online by messaging IG page after they post the story earlier in the week, show up by 10 pm to check in",Post show,9
Sunday,Fun Simulation 2000,Reed's Local,"3017 W Belmont Ave, Chicago, IL 60618",Online lottery through link posted on FB by Mark Anthony,9:00 PM,9
Sunday,Jokes and Jams,Journey's Bar and Grill,"11220 W Grand Ave, Melrose Park, IL 60164","In person at 7:30, extra time for using the joke topic of the week",8:00 PM,8
Sunday,It's Not That F*ing Far,The Barrel,"2015 S Damen Ave, Chicago, IL 60608","1st and 3rd Sunday of the month, online through link in FB posts by Zach Frey",4:30 PM,4.5
